Year,area,ID_gone,arrival,gone,duration,dist,elevation,dist_el_vec,tide_strata,ID_correct,dev_stage
2008,Pilgrims,2,18/10/2008,27/10/2008,9,104,3.3,104.05,LWN_HWN,1,2
2008,Pilgrims,3,27/10/2008,10/11/2008,14,74,2.8,74.05,LWN_HWN,1,2
2008,Pilgrims,4,27/10/2008,10/11/2008,14,101,5.2,101.13,HWN_HWS,1,2
2008,Pilgrims,5,27/10/2008,10/11/2008,14,99,4.3,99.09,HWN_HWS,1,2
2008,Pilgrims,6,27/10/2008,10/11/2008,14,99,3.9,99.08,HWN_HWS,1,2
2008,Pilgrims,7,27/10/2008,10/11/2008,14,103,4.2,103.09,HWN_HWS,1,2
2008,Pilgrims,8,27/10/2008,10/11/2008,14,111,5.2,111.12,HWN_HWS,1,2
2008,Pilgrims,9,10/11/2008,19/11/2008,9,100,3.5,100.06,LWN_HWN,1,2
2008,Pilgrims,10,10/11/2008,19/11/2008,9,94,3.3,94.06,LWN_HWN,1,2
2008,Pilgrims,11,10/11/2008,19/11/2008,9,92,3.2,92.06,LWN_HWN,1,2
2008,Pilgrims,12,10/11/2008,30/11/2008,20,97,3.3,97.06,LWN_HWN,1,3
2008,Pilgrims,13,10/11/2008,30/11/2008,20,98,3.3,98.06,LWN_HWN,1,2
2008,Pilgrims,14,10/11/2008,30/11/2008,20,95,3.4,95.06,LWN_HWN,1,2
2008,Pilgrims,15,10/11/2008,19/11/2008,9,96,3.2,96.05,LWN_HWN,1,3
2008,Pilgrims,16,30/11/2008,01/12/2008,1,116,5,116.11,HWN_HWS,0,3
2008,Pilgrims,17,30/11/2008,01/12/2008,1,93,3.2,93.06,LWN_HWN,0,2
2008,Pilgrims,18,30/11/2008,01/12/2008,1,88,2.9,88.05,LWN_HWN,0,2
2008,Pilgrims,19,19/11/2008,30/11/2008,11,101,5.2,101.13,HWN_HWS,1,3
